Fill,col1,row1,col2,row2,img_name,img_w,img_h
100,179,766,169,501,1765340365835_Cam2_Ready_0.00.png,1000,1000
91.6,186,763,179,503,1765340365835_Cam2_Ready_0.00.png,1000,1000
83.3,196,760,191,505,1765340365835_Cam2_Ready_0.00.png,1000,1000
75,205,758,201,506,1765340365835_Cam2_Ready_0.00.png,1000,1000
66.6,214,756,210,508,1765340365835_Cam2_Ready_0.00.png,1000,1000
58.3,224,754,220,509,1765340365835_Cam2_Ready_0.00.png,1000,1000
50,233,751,229,511,1765340365835_Cam2_Ready_0.00.png,1000,1000
41.6,241,749,237,511,1765340365835_Cam2_Ready_0.00.png,1000,1000
33.3,251,749,246,512,1765340365835_Cam2_Ready_0.00.png,1000,1000
25,258,745,254,513,1765340365835_Cam2_Ready_0.00.png,1000,1000
16.6,265,742,262,512,1765340365835_Cam2_Ready_0.00.png,1000,1000
8.3,273,740,271,513,1765340365835_Cam2_Ready_0.00.png,1000,1000
0,283,739,278,512,1765340365835_Cam2_Ready_0.00.png,1000,1000
