Fill,col1,row1,col2,row2,img_name,img_w,img_h
100,208,751,211,504,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
92.3,220,747,222,507,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
84.6,230,745,232,509,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
76.92,238,745,243,511,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
69.23,248,741,252,509,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
61.53,258,741,260,509,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
53.84,267,740,269,512,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
46.15,278,737,280,514,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
38.46,285,735,286,514,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
30.76,295,733,296,514,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
23.07,302,732,304,515,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
15.38,309,729,312,516,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
0,317,729,319,516,1764893558951_Cam2_Timeout_0.00.jpg,1000,1000
,,,,,,,
