Fill,col1,row1,col2,row2,img_name,img_w,img_h
100,218,758,222,498,1764892649489_Cam2_Timeout_0.00.jpg,1000,1000
88.37,265,745,271,507,1764892649489_Cam2_Timeout_0.00.jpg,1000,1000
76.74,306,737,308,510,1764892649489_Cam2_Timeout_0.00.jpg,1000,1000
65.12,350,516,348,727,1764892649489_Cam2_Timeout_0.00.jpg,1000,1000
53.49,387,718,387,520,1764892649489_Cam2_Timeout_0.00.jpg,1000,1000
41.86,417,711,417,524,1764892649489_Cam2_Timeout_0.00.jpg,1000,1000
30.23,447,704,450,530,1764892649489_Cam2_Timeout_0.00.jpg,1000,1000
18.6,474,696,476,534,1764892649489_Cam2_Timeout_0.00.jpg,1000,1000
6.98,497,692,498,537,1764892649489_Cam2_Timeout_0.00.jpg,1000,1000
0,526,685,529,540,1764892649489_Cam2_Timeout_0.00.jpg,1000,1000
